sku_id,taxonomy_id,taxonomy_name,,,,,,,,,,,,,,,,,,
11571,a717a565-963d-4256-93a3-8a2cd006d51c,HÀNG HÓA HÀNH CHÍNH,,,,,,,,,,,,,,,,,,
15572,e52fd26c-95a0-4a8a-be58-49d68ff01200,DẦU GỘI,,,,,,,,,,,,,,,,,,
27119,66d520c8-0233-4138-89e9-121b2a5b7f2e,DẠ DÀY VIÊN,,,,,,,,,,,,,,,,,,
4680,b2fde648-3738-4a77-97f8-a10756ec370d,PHỤ KHOA,,,,,,,,,,,,,,,,,,
2672,c444f3bc-c8fa-4493-b99e-cb481a536bd7,KẸO CỨNG,,,,,,,,,,,,,,,,,,
18748,0c4998dc-5fd4-40e3-bf14-41f9260735ee,QUINOLOL,,,,,,,,,,,,,,,,,,
18934,4b950f10-aa1b-484f-b859-72f7e835a37b,BỔ XƯƠNG,,,,,,,,,,,,,,,,,,
35605,86d1bbe2-e415-4da1-4927-3a1909b7f630,DẦU GỘI TRỊ GÀU,,,,,,,,,,,,,,,,,,
21377,e11f35ff-b985-a8ad-1d7d-3a1909da5b9e,MỤN,,,,,,,,,,,,,,,,,,
19277,2d302181-447c-4ad4-9d57-ba5aff4876b6,DỊ ỨNG NGỨA,,,,,,,,,,,,,,,,,,
38631,f11f8e97-aa4f-48f2-3cae-3a1909e04181,RỬA MẶT,,,,,,,,,,,,,,,,,,
40489,476d1108-20be-48d6-9165-ce04406ccfec,HUYẾT ÁP,,,,,,,,,,,,,,,,,,
4.32E+04,e9f33f28-0289-aafe-a841-3a1909bf7ee7,DƯỠNG ẨM TOÀN THÂN,,,,,,,,,,,,,,,,,,
34906,e9f33f28-0289-aafe-a841-3a1909bf7ee7,DƯỠNG ẨM TOÀN THÂN,,,,,,,,,,,,,,,,,,
44933,394804a6-d8db-4d46-8738-8565e287ff0d,Ký sinh trùng-Giun lươn,,,,,,,,,,,,,,,,,,
31361,e9f33f28-0289-aafe-a841-3a1909bf7ee7,DƯỠNG ẨM TOÀN THÂN,,,,,,,,,,,,,,,,,,
15395,e9f33f28-0289-aafe-a841-3a1909bf7ee7,DƯỠNG ẨM TOÀN THÂN,,,,,,,,,,,,,,,,,,
44926,6a6205bf-9e7d-487d-8fab-7d28c83bfe4c,Vi khuẩn,,,,,,,,,,,,,,,,,,
32268,87bf31ab-c600-43ce-8246-5ab74e792a4a,THẦN KINH NÃO,,,,,,,,,,,,,,,,,,
33500,f6d53df3-7f6b-4805-9945-db1e47e8f32a,TRĨ,,,,,,,,,,,,,,,,,,
14632,e11f35ff-b985-a8ad-1d7d-3a1909da5b9e,MỤN,,,,,,,,,,,,,,,,,,
13761,e11f35ff-b985-a8ad-1d7d-3a1909da5b9e,MỤN,,,,,,,,,,,,,,,,,,
12986,3dd79e4c-7343-4b4e-a5a3-192d91e0a0f5,LOÃNG XƯƠNG,,,,,,,,,,,,,,,,,,
11539,8d9d29bb-2107-48b8-8cf3-737412fc4987,HÀNH CHÍNH,,,,,,,,,,,,,,,,,,
12075,7206aadb-c2e9-481b-985f-821380b1ac16,MẸ VÀ BÉ,,,,,,,,,,,,,,,,,,
4413,36b946c5-eaf5-f7de-017d-3a1909dc1086,NGỪA LÃO HÓA,,,,,,,,,,,,,,,,,,
4327,f11f8e97-aa4f-48f2-3cae-3a1909e04181,RỬA MẶT,,,,,,,,,,,,,,,,,,
2673,2111a9c4-c14c-4936-a939-be6eb4aaf8db,KẸO CAO SU,,,,,,,,,,,,,,,,,,
109,c89527af-4fa4-4250-b4e9-5fdc823b0a26,KHÁC,,,,,,,,,,,,,,,,,,
23128,87bf31ab-c600-43ce-8246-5ab74e792a4a,THẦN KINH NÃO,,,,,,,,,,,,,,,,,,
17918,3dd79e4c-7343-4b4e-a5a3-192d91e0a0f5,LOÃNG XƯƠNG,,,,,,,,,,,,,,,,,,
