code,confirm_status,creation_by,creation_time,eng_name,product_id,is_active,is_delete,last_modification_by,last_modification_time,name,name_ascii,note,question,reason,ref_code,short_name,type,upc_code,upc_id,industry_code,industry_name,replace_product,tenant_code,d
1307,Approved,,59:37.9,,14697,FALSE,FALSE,,39:30.5,BIOSUBTYL PLUS V-BIOTECH 25 GÓI,BIOSUBTYL PLUS V-BIOTECH 25 GÓI,,,,B121600001307,BIOSUBTYL PLUS 25 GÓI,Normal,7.82848E+11,14697,7,TPCN,,,3/1/2025
1308,Approved,,21:25.3,,18203,FALSE,FALSE,,07:59.3,BIO SUBTYL-II BIOPHARCO 25 GÓI,BIO SUBTYL-II BIOPHARCO 25 GÓI,,,,A121600001308,BIOSUBTYL-II 25 GÓI,Normal,7.82848E+11,18203,3,THUỐC,,,3/1/2025
1312,Approved,,10:22.2,,3262,FALSE,FALSE,,11:05.7,BIOTIN 5MG,,,,,A121600001312,BIOTIN 5MG,Normal,7.82848E+11,3262,3,THUỐC,,,3/1/2025
1313,Approved,,21:25.9,,18205,TRUE,FALSE,,11:11.6,BIOTIN 5MG MEDIPLANTEX 2X10,BIOTIN 5MG MEDIPLANTEX 2X10,,,,A121600001313,BIOTIN 5 PLANTEX 2X10,Normal,7.82848E+11,18205,3,THUỐC,,,3/1/2025
1317,Approved,,03:00.0,,22655,FALSE,FALSE,,03:00.0,BIOVITA PLUS,,,,,A121600001317,BIOVITA PLUS,Normal,7.82848E+11,22655,3,THUỐC,,,3/1/2025
1318,Approved,,03:00.1,,22656,FALSE,FALSE,,06:10.1,BIOVITAL,,,,,A121600001318,BIOVITAL,Normal,7.82848E+11,22656,3,THUỐC,,,3/1/2025
1320,Approved,,49:54.1,,22018,FALSE,FALSE,,50:51.7,BIOVITAL 30 GÓI,BIOVITAL 30 GÓI,,,,B121600001320,BIOVITAL 30 GÓI,Normal,7.82848E+11,22018,7,TPCN,,,3/1/2025
1323,Approved,,21:26.6,,18207,FALSE,FALSE,,50:51.7,BIRESORT 5MG BIDIPHAR 1X20,BIRESORT 5MG BIDIPHAR 1X20,,,,A121600001323,BIRESORT 5 BDP 1X20,Normal,7.82848E+11,18207,3,THUỐC,,,3/1/2025
1325,Approved,,03:01.6,,22659,FALSE,FALSE,,03:01.6,BISACODYL-Traphaco,,,,,Z121600001325,BISACODYL-Traphaco,Normal,7.82848E+11,22659,11,KHÁC,,,3/1/2025
1326,Approved,,21:27.2,,18209,TRUE,FALSE,,42:56.9,BISALAXYL 5MG VIDIPHA 5X10,,,,,A121600001326,BISALAXYL 5 VDP 5X10,Normal,7.82848E+11,18209,3,THUỐC,['00001324' '00005667'],,3/1/2025
1328,Approved,,21:28.0,,18211,TRUE,FALSE,,16:27.3,BISEPTOL 480MG PHARBACO 1X20,,,,,A121600001328,BISEPTOL 480 1X20,Normal,7.82848E+11,18211,3,THUỐC,['00022261' '00030811' '00002095'],,3/1/2025
1330,Approved,,03:02.8,,22661,FALSE,FALSE,,03:02.8,BISMOLTAB,,,,,A121600001330,BISMOLTAB,Normal,7.82848E+11,22661,3,THUỐC,,,3/1/2025
1331,Approved,,21:28.3,,18212,FALSE,FALSE,,00:51.7,BISOCAR 5MG 3X10,BISOCAR 5MG 3X10,,,,A121600001331,BISOCAR 5,Normal,7.82848E+11,18212,3,THUỐC,,,3/1/2025
1333,Approved,,21:29.1,,18214,FALSE,FALSE,,50:51.7,BISOLOC PLUS 2.5MG/6.25MG UNITED 3X10,BISOLOC PLUS 2.5MG/6.25MG UNITED 3X10,,,,A121600001333,BISOLOC PLUS 2.5/6.25 3X10,Normal,7.82848E+11,18214,3,THUỐC,,,3/1/2025
1334,Approved,,21:29.5,,18215,FALSE,FALSE,,50:51.7,BISOLOC PLUS 5MG/6.25MG UNITED 3X10,BISOLOC PLUS 5MG/6.25MG UNITED 3X10,,,,A121600001334,BISOLOC PLUS 5/6.25 3X10,Normal,7.82848E+11,18215,3,THUỐC,,,3/1/2025
1336,Approved,,21:30.2,,18217,TRUE,FALSE,,58:07.8,BISOLVON KIDS SANOFI 60ML,BISOLVON KIDS SANOFI 60ML,,,,A121600001336,BISOLVON KIDS 60ML,Normal,7.82848E+11,18217,3,THUỐC,,,3/1/2025
1339,Approved,,21:30.9,,18219,TRUE,FALSE,,14:02.7,BISOPROLOL STADA 5MG 3X10,BISOPROLOL STADA 5MG 3X10,,,,A121600001339,BISOPROLOL STADA 5MG 3X10,Normal,7.82848E+11,18219,3,THUỐC,"['00013835' '00001335' '00001331' '00001592' '00002064' '00020431'
 '00013670' '00001338' '00001263' '00004826' '00017307' '00021152'
 '00003395' '00006595' '00002726' '00000555' '00002082' '00021232'
 '00013866']",,3/1/2025
1340,Approved,,21:31.3,,18220,TRUE,FALSE,,37:32.4,BISOPROLOL FUMARATE 2.5MG 2X14,BISOPROLOL FUMARATE 2.5MG 2X14,,,,A121600001340,BISOPROLOL FUMARATE 2.5 ACTAVIS,Normal,7.82848E+11,18220,3,THUỐC,,,3/1/2025
1345,Approved,,03:06.9,,22665,FALSE,FALSE,,03:06.9,BIVI COX 200,,,,,A121600001345,BIVI COX 200,Normal,7.82848E+11,22665,3,THUỐC,,,3/1/2025
1348,Approved,,03:07.5,,22667,FALSE,FALSE,,03:07.5,BIVO,,,,,A121600001348,BIVO,Normal,7.82848E+11,22667,3,THUỐC,,,3/1/2025
1349,Approved,,03:07.6,,22668,FALSE,FALSE,,03:07.6,BJECT,,,,,A121600001349,BJECT,Normal,7.82848E+11,22668,3,THUỐC,,,3/1/2025
