regimen_detail_id,regimen_id,vaccine_id,from_age,to_age,age_unit_code,age_unit,from_age_number,to_age_number,schedule_type,required_injections,max_injections,unit,regimen_detail_note,dosage,nearest_injection_distance,max_distance,min_distance,is_pregnant_regimen,is_required,note,created_at,modified_at,etl_date,etl_by,record_checksum,primary_checksum
3f70128e-f1b9-49a6-945d-2aa05a3d5e51,40f89b72-c60e-461a-9b47-75dfe6280bc2,543e9685-b1fd-4efd-a670-38a788feabdb,12 tháng tu?i,<7 tu?i,2,Month,12,84,?ã tiêm s?i ??n - T? 1 - d??i 7 tu?i,2,2,ml,None,0.5,NaN,1080,1078,FALSE,TRUE,None,8/17/2023,12/9/2023,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,616d4d8d57ad2c17d7b45eb685bd821c,292e0e2c6c1307dd6d39886c03adb0b6
3fa85f64-5717-4562-b3fc-2c963f66afa6,b8901acd-867d-4b64-a3bc-42a6961b1722,ec3173d3-d38a-48ae-9b2d-297878b5cae0,>= 6 tu?n,< 7 tháng,1,Week,6,30,T? 6 tu?n - d??i 7 tháng tu?i,4,4,ml,,0.5,30,30,28,FALSE,TRUE,None,11/8/2025,11/8/2025,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,8c018f83afb37f25cf4d3eb6eec032a3,cf63a84c4ec781dfba455a9adabb0dad
3fd28176-d45d-4eb6-b99d-ce7aac4e9a0f,8ea1d378-b82e-48cf-b09d-64571ce720cf,a2a283c5-6282-4c4b-9a87-b0de955833bc,> = 6 tu?n,,1,Week,6,52143,T? tròn 06 tu?n tu?i tr? lên - Booster,1,NaN,ml,,0.5,0,0,0,FALSE,TRUE,None,4/11/2025,NaT,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,3d1e6b43891a0ef2ddf5733d11d467da,6bf6214404d657cf784df157e756856c
40826f6f-2de0-43a9-97bf-bbaac866e9c1,b9d9042b-3268-476d-bf91-609b126f482c,d08dac23-e318-4e7e-8dec-95db9cd06290,12 tháng tu?i,<7 tu?i,2,Month,12,84,?ã tiêm s?i ??n - T? 1 - d??i 7 tu?i,2,2,ml,None,0.5,NaN,1080,1078,FALSE,TRUE,None,2/2/2026,2/2/2026,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,41f4cddd5a2dcd74558d83fd7d442ee4,bf0db19281fec3ca15458fcc2fcd4758
410e0fc3-05f2-467c-bcac-88f066da7978,a6d263fa-a834-41bf-aad1-ed06239b79b8,dfbb61f5-306a-4a02-bba0-ca3cc234e048,6 tháng,< 36 tháng tu?i,2,Month,6,36,T? 6 tháng - d??i 36 tháng tu?i,2,NaN,ml,None,0.25,30,30,28,FALSE,TRUE,None,6/17/2025,6/26/2025,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,b542651e13c0e404afc4bb81deae184e,813b6eb6745c15dd9063dd7220087b53
4135d971-a72d-4e52-a53b-ceea77fa04d4,37aac6c2-a99c-45d5-b16b-583d9f61f112,bb920798-9cfb-415d-93c8-b48ae9d5146f,> 16 tu?i,,3,Age,16,1000,T? 16 tu?i tr? lên - Thông th??ng,3,NaN,ml,,1,0,0,0,FALSE,FALSE,None,4/11/2025,NaT,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,372c44078102b3de7e5b92e784498a5e,f36db62d0b02eff499f97f22fc9e2cf2
422ea925-d10e-4d3c-8b5b-f7d1744993f0,0faa12fb-9688-40de-9f07-8e75604a82f3,d2eee2d8-8568-4a60-b1c2-0c3ffef6bbcd,>= 0 Tu?i,,1,Week,0,52143,T? 0 tu?i tr? lên,10,10,ml,,0.5,0,0,0,FALSE,TRUE,None,10/28/2024,10/28/2024,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,370d10b014bc2e9fc4d5109ee6de3eab,a3633e19e3cde4587d5836585837b626
431e85ac-b102-4f69-94e5-1a2eb22c7434,ad8ea1d9-402c-458e-88b6-41ac0f348aca,a83c9ec4-c3e0-4bf2-bcbc-057554490687,6 tu?n tu?i,24 tu?n,1,Week,6,24,T? 6 tu?n - tròn 24 tu?n tu?i,2,2,ml,None,1.5,30,30,28,FALSE,TRUE,None,8/17/2023,1/3/2025,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,8742f74707a0a569e0a96681a16a01cd,1398c918bf59a76dc422d5e59829cad7
4357634b-1a54-4d54-9603-f82ecc59206c,21351005-04d7-4f57-880b-aef74b4047df,97bfc31d-d30d-4672-812a-d63ebce8fa48,,,1,Week,0,52143,Tiêm trong da 0.1mlx2 - Sau ph?i nhi?m - Ch?a d? phòng,4,NaN,ml,,0.2,4,4,4,FALSE,TRUE,None,8/17/2023,12/9/2023,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,9acc825a79a3683b05c996129b2b65c0,a8a909af724bba4b029666c738bf81a1
43e7bbe0-39e2-4674-8f41-184aa38706ca,9099b391-da4e-437a-bf3c-39718795e179,50b8cd1b-fd31-4a24-808d-72ec6f5f8291,,,1,Week,0,52143,Tiêm b?p 0.5ml - Sau ph?i nhi?m - Ch?a d? phòng,5,NaN,ml,None,0.5,4,4,4,FALSE,TRUE,None,8/17/2023,12/9/2023,3/10/2026,02c92e10-acde-4ab9-8c7b-047bbaf9fd8a,774b7aea91d3d5976fd2f9d1f7975946,ce11df7eadcb7c789588197d0059bd1b
